id,termino,equivalentes,prediseñado,cons_agua,cons_suelo,cons_bio,cond_amb,rec_nat,rec_no_nat,man_par,man_gan,cond_soc,subj,actores,proc_ext,indicadores
1,desmonte,"desmonte, tumba, desbrozar, chapear",1,,,,,,,1,,,,,,
2,rociar,"rociar, aplicar líquido para hoja ancha, fumigar",1,,,,,,,1,,,,,,
3,pastos,"empastar, cantidad de pastura, crecimiento/calidad de la guinea, comprar semillas",1,,,,,1,,1,,,,,,
4,cultivos,"siembra de milpa, sandia, papaya, pepino",1,,,,,1,,,,,,,,
5,mantenimiento del lienzo,mantenimiento del lienzo,1,,,,,,,1,,,,,,
6,quemas,quemas,1,,,,,,,1,,,,,,
7,rotación de potreros,rotación de potreros,1,,,,,,,1,,,,,,
8,cuidado veterinario,"desparasitar, bañar, vacunar",1,,,,,,,,1,,,,,
9,acarrear agua,acarrear agua,1,1,,,,,,,,,,,,
10,bebederos y represas,"bebederos, represas, pozos",1,1,,,,,,,,,,,,
11,madera y postes,"madera, postes, orcones, palos",1,,,,,1,,,,,,,,
12,siembra,"siembra de cultivos, verbo siembra",1,,,,,1,,1,,,,,,
13,fertilidad del suelo,"fertilidad del suelo, humedad del suelo?",1,,1,,,,,,,,,,,1
14,monte,"monte (para ramoneo), monte alto, conservar monte",1,,,1,,,,,,,,,,
15,plantas medicinales,"medicina, remedios, colomo",1,,,1,,1,,,,,,,,
16,fauna,"animales para caza, animales grandes, diversidad de animales",1,,,1,,1,,,,,,,,1
17,mayor terreno,"mucho terreno, cantidad de tierra, parcelas, derechos ejidales",1,,,,,,,,,1,,,,
18,herramienta de trabajo,"disponibilidad de material, disponibilidad de herramienta, familiares que trabajan en la parcela",1,,,,,,,,,1,,,,
19,ganado,cantidad de ganado,1,,,,,,,,1,,,,,
20,remesas,remesas,1,,,,,,,,,1,,,,
21,apoyos del gobierno,apoyos del gobierno,1,,,,,,,,,1,,,,
22,alimento para ganado,"renta de pastura, compra de pastura, alimento para el ganado",1,,,,,1,,,1,,,,,
23,enfermedades del ganado,"enfermedad del ganado, muerte de vacas",1,,,,,,,,1,,,,,
24,plagas,"comejen, gusano medidor, plagas de la pastura",1,,,,,,,1,,,,,,
25,erosión,"erosión, crecimiento de las piedras, dificultad para trabajar el suelo?",1,,1,,,,,,,,,,,
26,pesca en ríos,disponibilidad de pesca en ríos,1,,,1,,1,,,,,,,,
27,árboles,"disponibilidad de árboles maderables, disponibilidad de árboles para forraje",1,,,1,,1,,,,,,,,1
28,arbustos y malezas,"arbustos, malezas, hiebra de hoja ancha, zacate, pasto de temporal",1,,,1,,1,,,,,,,,
29,belleza del paisaje,"paisaje, admiración de la naturaleza",1,,,,,,,,,,1,,,
30,diversidad de plantas,"diversidad de plantas, flora",1,,,1,,,,,,,,,,1
31,conservación de la biodiversidad,conservación,1,,,1,,,,,,,,,,1
32,infiltración,"infiltración, infiltración del agua",1,1,1,,,,,,,,,,,1
33,conservación del suelo,"conservación del suelo, salud del suelo",1,,1,,,,,,,,,,,1
34,agua,"cantidad de agua en los arroyos, agua limpia para beber (ranchos), agua para ganado",1,1,,,,,,,,,,,,1
35,lluvia,"cantidad de lluvia, distribución de lluvia",1,1,,,,,,,,,,,,1
36,clima,periodo de lluvias,1,,,,1,,,,,,,,,
37,cambio climático,cambio climático,1,1,1,1,1,,,,,,,,,
38,sequía,"sequía, resequedad",1,1,,,1,,,,,,,,,
39,tormenta,tormenta,1,1,,,1,,,,,,,,,
40,migración,migración,1,,,,,,,,,1,,,,
41,huracanes,huracán,1,1,,,1,,,,,,,,,
42,biólgos,"biólogos, trabajo de los biólogos",1,,,,,,,,,,,1,,
43,estación de biología de chamela,estación de biología de chamela,1,,,,,,,,,,,1,,
44,negocios,"mercado/compra, negocio familiar, negocios",1,,,,,,,,,,,,1,
45,gusto por la ganadería,"orgullo ganadero, buena fama, prestigio, gusto por la ganadería",1,,,,,,,,,,1,,,
46,dinero y sustento familiar,"otros ingresos, dinero",1,,,,,,1,,,,,,,
47,turismo,turismo,1,,,,,,,,,,,1,1,
48,educación,"cultura, educación, enseñanza, información",0,,,,,,,,,1,,,,
49,suelo desmontado,suelo desmontado,0,,1,,,,,,,,,,,
50,polinizadores,polinizadores,0,,,1,,1,,,,,,,,1
51,mar,"mar, sereno",0,,,,1,,,,,,,,,
52,esfuerzo de trabajo,"trabajo, esfuerzo, desgaste",0,,,,,,,,,,1,,,
53,industrias,"industrias, fábricas",0,,,,,,,,,,,1,,
54,gases de efecto invernadero,"quema de combustibles, fábricas, gases de efecto invernadero",0,,,1,,,,,,,,,1,
55,selva,"selva, monte, monte alto, selva vigen, selva primaria, selva secundaria",0,,,1,,,,,,,,,,1
56,espacio para pastar,espacio,0,,,,,1,,,,,,,,
57,machetear,"machetear, limpiar, desbrotar",0,,,,,,,1,,,,,,
58,frio,frio,0,,,,1,,,,,,,,,
59,salud de las personas,"salud de la población, salud, enfermedades, redienga, uno",0,,,,,,,,,,1,,,
60,vivienda,"viviendas, casas",0,,,,,,,,,1,1,,,
61,sereno,"sereno, brisa",0,,,,1,,,,,,,,,
62,tiempo,"tiempo, tiempo disponible",0,,,,,1,,,,,1,,,
63,descanso del suelo,"descanso, descanso del suelo",0,,1,,,,,1,,,,,,
66,gobierno,"gobierno, municipio, estado, amlo",0,,,,,,,,,,,1,,
67,inversionistas,"inversionistas, inversionistas extranjeros",0,,,,,,,,,,,1,,
68,cuixmala,"la fundación, fundación cuixmala, cuixmala",0,,,,,,,,,,,1,,
69,bienestar,"estar a gusto, bienestar, diversión",0,,,,,,,,,,1,,,
70,estudios e investigación,"estudios, investigaciones",0,,,,,,,,,,,,1,
71,plan de ordenamiento territorial,"plan de ordenamiento, plan de desarrollo urbano",0,,,,,,,,,,,,1,
72,sobrepoblación,sobrepoblación,0,,,,,,,,,,,,1,
73,venaderos,"venaderos, caceria",0,,,,,,,,,,,1,,
74,contaminación,contaminación,0,1,1,1,,,,,,,,,1,
75,tala,"tala, cortes de maderas",0,,,1,,,,1,,,,,1,
76,organización,"movilización, organización",0,,,,,,,,,,1,,,
77,cauce de ríos,cauce de ríos,0,,,,1,,,,,,,,,
